cliente_id,cliente_sk,cliente_nome,cliente_altura_cm,cliente_peso_kg,cliente_profissao,cliente_data_nascimento,cliente_faixa_etaria
1,1,Rita Lima,188,58,Estudante,9/18/1980,30-44
2,2,Salvador Vieira,178,73,Cozinheiro,8/16/1987,30-44
3,3,Melanie Figueiredo,164,50,Designer,4/19/1967,45-59
4,4,Afonso Figueiredo,192,93,Engenheiro,5/23/1998,18-29
5,5,Fernando Carvalho-Carneiro,157,57,Vendedor,10/9/1995,18-29
6,6,Pilar Monteiro,170,73,Motorista,12/9/1977,45-59
7,7,Marco Macedo,188,60,Arquiteto,12/3/2003,18-29
8,8,Samuel Pinheiro,168,100,Designer,9/19/2006,18-29
9,9,Benedita Pereira,172,66,Enfermeiro,8/2/1974,45-59
10,10,Erica Esteves,160,57,Professor,5/2/1993,30-44
11,11,Benjamim Carvalho Magalhães,160,84,Dentista,8/21/1994,30-44
12,12,Luciana Henriques,173,84,Contabilista,4/5/1976,45-59
13,13,Yara Soares,185,82,Bombeiro,12/15/1962,60+
14,14,Erica da Cruz,189,108,Mecânico,12/16/1955,60+
15,15,Benedita Rita Coelho,173,54,Designer,11/24/1988,30-44
16,16,Valentim Henriques,152,91,Estudante,11/13/1974,45-59
17,17,Tomás Amorim Miranda,171,88,Psicólogo,1/14/1983,30-44
18,18,Lucas Matias,151,107,Psicólogo,9/18/2006,18-29
19,19,Paulo Barbosa,173,90,Estudante,1/13/1971,45-59
20,20,Miguel Figueiredo,193,77,Bombeiro,2/24/1970,45-59
21,21,Leonardo Magalhães,179,56,Vendedor,4/7/1966,45-59
22,22,Filipa Baptista,187,58,Médico,7/26/1970,45-59
23,23,Mauro Ferreira,151,57,Engenheiro,2/5/1999,18-29
24,24,Paulo Melo-Antunes,170,61,Psicólogo,9/24/1991,30-44
25,25,Salvador Mota,182,83,Enfermeiro,10/21/1964,60+
26,26,Nair Nogueira,161,82,Psicólogo,9/26/1956,60+
27,27,Renata Soraia Amaral,171,97,Psicólogo,4/19/1982,30-44
28,28,Carminho Santos,193,104,Psicólogo,11/28/1974,45-59
29,29,Santiago da Oliveira,174,72,Médico,5/17/1954,60+
30,30,Bruno Mendes,198,73,Médico,5/6/1965,60+
31,31,Kevin Guerreiro,176,86,Enfermeiro,4/11/1971,45-59
32,32,Manuel da Gonçalves,191,84,Professor,10/11/1987,30-44
33,33,Bryan Miranda,177,93,Professor,12/20/1964,60+
34,34,Noa Anjos,165,89,Dentista,12/16/1980,30-44
35,35,Nair Cunha,164,71,Médico,10/13/1980,30-44
36,36,Débora Amorim,196,76,Bombeiro,5/26/2004,18-29
37,37,Lúcia do Carvalho,193,84,Motorista,10/3/1990,30-44
38,38,Clara Campos,152,50,Advogado,9/19/1998,18-29
39,39,Marcos Abreu Guerreiro,186,84,Polícia,10/29/2004,18-29
40,40,Eduarda Domingues,156,86,Psicólogo,4/25/1983,30-44
41,41,Daniel Costa,170,96,Motorista,11/28/1984,30-44
42,42,Débora Batista,158,63,Enfermeiro,8/26/1973,45-59
43,43,Laura Amorim,188,52,Estudante,3/17/1969,45-59
44,44,Renato Abreu Matos,167,50,Médico,7/2/1980,45-59
45,45,António Cunha,153,54,Motorista,11/28/1957,60+
46,46,Caetana Antunes,174,75,Polícia,11/16/1972,45-59
47,47,Bianca Melo Barros,163,104,Gestor,4/5/1990,30-44
48,48,Sara Amaral,199,63,Gestor,10/9/1975,45-59
49,49,Gonçalo Araújo,158,88,Professor,3/1/1964,60+
50,50,Emanuel Machado,175,76,Designer,10/27/1994,30-44
51,51,Bryan Azevedo,151,58,Motorista,10/11/1979,45-59
52,52,Francisco Almeida,169,64,Gestor,9/6/2004,18-29
53,53,Bárbara Neto,177,64,Engenheiro,7/17/1987,30-44
54,54,Fábio Barros,196,75,Estudante,1/5/2000,18-29
55,55,Emma Garcia,156,91,Advogado,10/11/1980,30-44
56,56,Tiago Pires,193,109,Dentista,6/18/1984,30-44
57,57,Gabriel Pinheiro Silva,157,62,Engenheiro,1/15/1970,45-59
58,58,Gil Moura,196,100,Dentista,1/11/1990,30-44
59,59,Salomé Pires,184,81,Estudante,4/17/1988,30-44
