id_cliente,nome,email,password_sha256,altura_cm,peso_kg,profissao,data_nascimento
1,Rita Lima,tcardoso@example.net,9cdd87d170fb9227db6c6c4c8840a6a13e502fe1cbb2026b0424bbbeb286855c,188,58,Estudante,9/18/1980
2,Salvador Vieira,erica10@example.org,a5523bffc5331c394dca52c608ecff4ce2dd3ae4af2473fe6923e25c2842a514,178,73,Cozinheiro,8/16/1987
3,Melanie Figueiredo,festeves@example.com,2fe1e7708b141e46e583c3b3092a92775655bb83d87908cd4d80ddeccf5b71d2,164,50,Designer,4/19/1967
4,Afonso Figueiredo,valentinacunha@example.org,4502c30db76b9285b4bae55acfef3eea13415de870020ccb1c1a5d19ce3b97dd,192,93,Engenheiro,5/23/1998
5,Fernando Carvalho-Carneiro,paivasalome@example.com,4490df250e496158c6be42bc77eaedce4ecfa5226244bfab7d297cfbe53d3f77,157,57,Vendedor,10/9/1995
6,Pilar Monteiro,icardoso@example.net,1ff8004ebffc9c57a432b752db816c1eeb7be84630b77fdb76e6389ae3f300fa,170,73,Motorista,12/9/1977
7,Marco Macedo,mbrito@example.org,d5160cabf1670c305909e89d70f8a20771a21de876fd8495111f469316e0b5ee,188,60,Arquiteto,12/3/2003
8,Samuel Pinheiro,andrebranco@example.org,a35b0ea550b25e9a5cd2d73ae656fa770694011d49cef6a9eae7c978f3d98399,168,100,Designer,9/19/2006
9,Benedita Pereira,garciaalice@example.com,1037b7d3e5f4e6112360d1697a074c2b8525b2ba3740f899eed6395b1ae57055,172,66,Enfermeiro,8/2/1974
10,Erica Esteves,rocharenata@example.com,3ffb2e5bad1a92a8b43510ddedd809ca61d8fc7da00b662a69bfa0fe68f29da2,160,57,Professor,5/2/1993
11,Benjamim Carvalho Magalh„es,marcio59@example.com,5f20009ee52b957f6bcb6cec092a20065defb608cc2dcc9134d7dcaca6cbc486,160,84,Dentista,8/21/1994
12,Luciana Henriques,nevesafonso@example.com,8e8564618dfeed7a1cbac70188cbd04f3789c6f5120fed800199ae1dce53e5fb,173,84,Contabilista,4/5/1976
13,Yara Soares,campossantiago@example.com,c5ac94142a4a24a8090537edd64ce1d5182cddda0b32ce2d659c83a8fbf52c89,185,82,Bombeiro,12/15/1962
14,Erica da Cruz,ruben51@example.org,0378062ea0e8a9ff0a2f29675554ecc6a12779dc76b6a8842cdc9ecf904b6698,189,108,Mec‚nico,12/16/1955
15,Benedita Rita Coelho,patriciajesus@example.net,ac888f21d6c36f3c605448bdc4fb11d85237ea1f141444f92757a4ab8a5524d4,173,54,Designer,11/24/1988
16,Valentim Henriques,goncalo16@example.net,45964b72f3eef7f683e4e2480ff6b84e0c0e12a488b52126cdff9cc1cf909175,152,91,Estudante,11/13/1974
17,Tom·s Amorim Miranda,kevimsoares@example.net,da66620a2e00dc2998661476c1a0598c721f4f9bbb54f232cee27db5d4cc2a87,171,88,PsicÛlogo,1/14/1983
18,Lucas Matias,madalenamonteiro@example.net,bcc6340b3cbbcd9ca79dd0273bfce85ee771ac1a759044d6e1223de418e98c1f,151,107,PsicÛlogo,9/18/2006
19,Paulo Barbosa,azevedomatilde@example.net,8a1d2cd753795a9e0eb0a2c5225bc653ffffde455eaf627b21210ec652cc8a4e,173,90,Estudante,1/13/1971
20,Miguel Figueiredo,kevim49@example.com,c380123bba836d4126c51696c7334b47b70bd054281cefc5fb19ae55937f20cc,193,77,Bombeiro,2/24/1970
21,Leonardo Magalh„es,kcosta@example.com,07c32956a9badc2f7ab4f1c6538c80333fdd8b55eed0d8d15cbdc4582a7f68a2,179,56,Vendedor,4/7/1966
22,Filipa Baptista,naiara59@example.net,ac5f0a506b3b9b015cc48d777735d70a56ac463d0f56589fd60429f5c325a006,187,58,MÈdico,7/26/1970
23,Mauro Ferreira,matosjessica@example.org,07ab2b48bb4727d494aea957d5fcb3873143d7c7671f403fc06d3101ce6570dc,151,57,Engenheiro,2/5/1999
24,Paulo Melo-Antunes,obrito@example.com,05f48c3c890a420651d311546d90fdaab0b576099c3916bdfe08c32ce3f03d98,170,61,PsicÛlogo,9/24/1991
25,Salvador Mota,matiasmelissa@example.org,410f00b753f6cc53403f6e36a3d6c1147c57ffd7698e4436a9635adc3879ab1f,182,83,Enfermeiro,10/21/1964
26,Nair Nogueira,xmota@example.com,89422310165fb43b4987ca18994d6666ebb54fa1c168b3c280801a2c5b7cad72,161,82,PsicÛlogo,9/26/1956
27,Renata Soraia Amaral,kpinheiro@example.net,17b6c719a87fed1680e34df1a9fb66c4683d2db8fa02b2965bfc82c0cfc73a62,171,97,PsicÛlogo,4/19/1982
28,Carminho Santos,andradeluana@example.com,5323d25d5b7888fab8467448f8c24c7354b6340e47671023b320724a752426e8,193,104,PsicÛlogo,11/28/1974
29,Santiago da Oliveira,qtorres@example.com,85d3043a79257f2baa92a3d8c56474216c2aa42dae9c5ba296caeb0e0e0b87a2,174,72,MÈdico,5/17/1954
30,Bruno Mendes,melojoao@example.org,93b49acf4ddcb74aaa7992917a99fafec5a63573b381d6ace79208f310eeea25,198,73,MÈdico,5/6/1965
31,Kevin Guerreiro,lvicente@example.org,19b4e8a088b109f310f1bb49855ba8cade4d128e18e36051caa3a2a51985578c,176,86,Enfermeiro,4/11/1971
32,Manuel da GonÁalves,ritasilva@example.com,9b95f8e94f910bbd89429fdb707e83084d9130cd0d002b7a12c27a8a6c4fd91c,191,84,Professor,10/11/1987
33,Bryan Miranda,bruna77@example.net,f424c2fe7d6346eb29e48c4f791d6e201e48ceaf4a0656f8f5c5ef344293e4e7,177,93,Professor,12/20/1964
34,Noa Anjos,salmeida@example.org,e862fbba8e8f543822b7df502ea5db19562657cc6eeadb82719882c083af3551,165,89,Dentista,12/16/1980
35,Nair Cunha,bruno32@example.org,8289e9e08d2f877982d0338ec2796ab60ae01c2ada46a834ea23356fc133ce29,164,71,MÈdico,10/13/1980
36,DÈbora Amorim,monteirosamuel@example.com,b2c4362c915e3d3529bf2e39dec4576b60f789ae47b429352c93a21ec4165e7f,196,76,Bombeiro,5/26/2004
37,L˙cia do Carvalho,pintovalentina@example.net,e285036464d2f0fe1dbbc495ba05a3e5d0cba73ecd0ed261bd2e7a096bd620b1,193,84,Motorista,10/3/1990
38,Clara Campos,renatoamaral@example.org,ffd09503cc22d4f281305a694fab4f51fbc1275d5eecc9ad17c7f108012410d0,152,50,Advogado,9/19/1998
39,Marcos Abreu Guerreiro,irina39@example.com,5127ca572e8af181647956e013f3328a45ae4f67fb4a40067d78187f3b696eb0,186,84,PolÌcia,10/29/2004
40,Eduarda Domingues,francisco24@example.net,56e9993815846ff5a3534fe7a1e1a0c7f1f1ad22f21aa4eca3d92d626788c16c,156,86,PsicÛlogo,4/25/1983
41,Daniel Costa,ema84@example.net,9c7b866c125c77013d268ce370fd84740c0667a218e30da06eb9a72fa63e19d9,170,96,Motorista,11/28/1984
42,DÈbora Batista,angelo95@example.org,49d854a5c42a5c7095cb79ade2a9c7d7df36672005b2cf71474728b87b533392,158,63,Enfermeiro,8/26/1973
43,Laura Amorim,ianjos@example.net,ba957a494f70db784d9785be930facad5eecbb009e4e20278d39cbf78d9f7b1c,188,52,Estudante,3/17/1969
44,Renato Abreu Matos,igor25@example.com,2cdc86b74731bbcb4e1f5c49adcbe89412d8a5f2ee69bffcdd4ad0a1c58d7689,167,50,MÈdico,7/2/1980
45,AntÛnio Cunha,duartepaiva@example.com,959d275e3f7ad77ed3636ab494bc53c0a2603b2bc8a2325e70301907c8db464b,153,54,Motorista,11/28/1957
46,Caetana Antunes,liacarneiro@example.com,39269d0e2616a4a7e3414bdbe878eabedffa78fb8d00fdafa24fef8bb65cf778,174,75,PolÌcia,11/16/1972
47,Bianca Melo Barros,baptistalisandro@example.com,3965dfc26e4b72f42d7f830136e82a1c3e66b5a052052492412211f709ce6569,163,104,Gestor,4/5/1990
48,Sara Amaral,piresvitor@example.org,c021de7e52f81e262bf472003e24929c5642b9cf6975394f30c7d0e1bb0ebe05,199,63,Gestor,10/9/1975
49,GonÁalo Ara˙jo,torresbianca@example.com,7d5e9d942c95ed59d472f92a57e8cd9d74e706e4cb241758e4c7f89b516b83c5,158,88,Professor,3/1/1964
50,Emanuel Machado,figueiredoanita@example.net,ce8b3b13639e34f3e74b9f2d42545738a1d881214eefaff7e0404b25d3e3a69a,175,76,Designer,10/27/1994
51,Bryan Azevedo,margarida05@example.com,7a5f87dbb420832204cdceee5cb924411e02729497d1a09c4d78d616c5b1a2c9,151,58,Motorista,10/11/1979
52,Francisco Almeida,matiasduarte@example.org,02e89813b3e5114ee632f7087d3e87dbbbe98b892e4df61ba709d5faf8e5960d,169,64,Gestor,9/6/2004
53,B·rbara Neto,dinis18@example.net,775082cded3896909b81222dcca4fddff3614ce2ae16074b33080b8c46d32462,177,64,Engenheiro,7/17/1987
54,F·bio Barros,clopes@example.org,6ac85dc8ab5c34e66d5f1b5c60e61181a06ff50717ee7831e93ed8e68f630492,196,75,Estudante,1/5/2000
55,Emma Garcia,umendes@example.com,8dd0725426cd58b87c5ea2deac6f20aa1d791c95576eb89fc46c1c36535da62c,156,91,Advogado,10/11/1980
56,Tiago Pires,yasmintorres@example.org,6a334410074730da94fab2a7eae6f4c3feba79e393c5baf57afdea57198a7935,193,109,Dentista,6/18/1984
57,Gabriel Pinheiro Silva,sandrocampos@example.net,e4fccf6de3c503b8ca62c11895ff2dd0cb2cfe72e36cadf2423c72c85b2c7ab7,157,62,Engenheiro,1/15/1970
58,Gil Moura,pedro74@example.com,59d1e7f146dd522738c234111d2a7dd23a2815f9ecf37aa65d802c56cdaabd6f,196,100,Dentista,1/11/1990
59,SalomÈ Pires,micaelalves@example.org,016a257e6e6e467ac12076237b7da9bf8359724e5be7867769fedccbab9c0cfb,184,81,Estudante,4/17/1988
