id_instrutor,nome,data_nascimento,competencias_academicas,area_especializacao
1,Enzo Pacheco,12/5/1986,Mestrado em Exercício e Saúde,Musculação
2,Anita Antunes,1/21/1988,Mestrado em Desporto,Yoga
3,Pilar Cruz,12/2/1996,Curso Técnico de Exercício Físico,Zumba
4,Sara Neto,5/27/1966,Licenciatura em Educação Física,Cardio
5,Sérgio Pires,6/12/1993,Licenciatura em Ciências do Desporto,Pilates
6,Leandro Amaral,12/25/1983,Licenciatura em Desporto,Crossfit
7,Ivan Carneiro,10/23/1969,Licenciatura em Reabilitaçãoo Física,Boxe
8,Marcos Castro Carneiro,4/10/1993,Licenciatura em Nutrição,Funcional
9,Kevin Araújo Simões,10/2/1987,Licenciatura em Fisioterapia,Alongamentos
10,Mário Jesus,6/20/1977,Pós-graduação em Treino Personalizado,HIIT
